%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1596620936826045781,1825,1596620936825599417,xsense,-0.0126816029089,0.0030520941836,0.561654238561,0.827269229438,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00154482014765,0.0030876989746,-0.00143741941044,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.202286710937,-0.195421647948,9.82793464664,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1596620936829031067,1826,1596620936828415628,xsense,-0.012685966487,0.00304014133761,0.561654791063,0.82726883144,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00302890095009,0.00302952690788,-0.00162218370051,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.180870959008,-0.170938379364,9.8546386207,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1596620936845468341,1827,1596620936845013457,xsense,-0.0126886836974,0.0030396189607,0.561654145632,0.827269229887,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00152483425502,0.0045758593866,-0.00154769910953,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.203610683099,-0.171322873597,9.82832661637,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1596620936847179278,1828,1596620936846585715,xsense,-0.0126749065493,0.00304105180125,0.56166230515,0.827263896059,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00148353635908,0.00307326754199,8.74170552557e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.202673458777,-0.220129942182,9.82749527446,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1596620936866835873,1829,1596620936866429772,xsense,-0.0126899388402,0.00303193359827,0.56165488951,0.827268733798,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00451263941234,0.0045515158572,-0.00319580800374,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.179374673607,-0.195259186172,9.8298684543,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1596620936869141693,1830,1596620936868596959,xsense,-0.0126721554302,0.00302711847583,0.561647638669,0.827273946772,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00162671772303,0.00157540575276,-0.00297480290205,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.177708375626,-0.194942518513,9.8055294132,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1596620936885957236,1831,1596620936885615889,xsense,-0.0126838087105,0.00303897803468,0.561653215337,0.8272699386,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00162739366412,0.00761519086126,2.75234403463e-06,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.177498598983,-0.219346916462,9.80510883607,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1596620936887755117,1832,1596620936887195057,xsense,-0.0126783101665,0.00302544039461,0.561645533584,0.827275287777,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00142230109966,0.00153651926852,-0.00309828041435,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.207512922932,-0.172247150845,9.85260877111,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1596620936905903009,1833,1596620936905533170,xsense,-0.0126812181636,0.00302478157137,0.561651196501,0.827271400975,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00158633465848,0.00456131494849,-2.3041064418e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.179555919873,-0.17084607963,9.805914806,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1596620936908597012,1834,1596620936908142155,xsense,-0.0126758739465,0.00303894884333,0.561653278326,0.827270017561,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015036618068,0.00614176021763,-0.00141117450979,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.185317959019,-0.19664780976,9.87848313346,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
