%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1598621623163885961,4112,1598621623163283454,xsense,0.290750599546,-0.63171669085,0.282832195028,0.660608856147,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00150445949879,-0.00159069571921,-0.00149244121563,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.87056078366,0.271024765228,0.2977654129,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621623164519325,4113,1598621623164144217,xsense,0.29074486997,-0.631718218245,0.282835931962,0.660608317322,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.69453256089e-05,-0.00152382791597,9.34297579353e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.82194140783,0.269229798986,0.301683013176,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621623165569601,4114,1598621623165132946,xsense,0.290740141353,-0.631714499035,0.282835449527,0.660614161524,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.9719410391e-05,-9.61180324037e-05,-0.0015220393292,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.84743187697,0.246030535264,0.302547398205,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621623165714791,4115,1598621623165530404,xsense,0.290745358793,-0.631718224806,0.282844428706,0.660604458007,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00160113952153,-0.00301839728257,0.000123013505224,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.851246196,0.252235320567,0.350683339955,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621623203691324,4116,1598621623203232275,xsense,0.290740630852,-0.631714505485,0.282843945915,0.660610302214,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.97417122125e-05,-9.61306552065e-05,-0.00152203791247,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.84934387145,0.249239948868,0.326382445162,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621623204152604,4117,1598621623203821655,xsense,0.290752243438,-0.631722548663,0.282837364112,0.660600317824,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00151865767251,-0.00473447929999,-0.00282762684407,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8481663854,0.273659140674,0.323161443846,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621623205082905,4118,1598621623204805551,xsense,0.290750279703,-0.631711902245,0.282833315035,0.660613096541,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000156544158463,0.0013315383934,-0.0031375231908,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.84625685989,0.270887646294,0.29884659668,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621623205849735,4119,1598621623205497334,xsense,0.290754604058,-0.631709381803,0.282839078142,0.660611136022,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.27413493555e-05,-0.00161997248988,-0.00142858857985,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.82384712191,0.273244201511,0.325016775369,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621623208560577,4120,1598621623208116521,xsense,0.290757063186,-0.631708429745,0.28284146099,0.660609943871,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00150448109486,-0.00159064871041,-0.00149249646615,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.84934077688,0.250123361788,0.325799505541,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621623244485517,4121,1598621623244250982,xsense,0.290757299672,-0.631707473002,0.282853055123,0.660605790505,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015642659671,-0.00149449186708,2.95391161127e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.84625456012,0.271334800417,0.298516518978,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
